iter	Passed	Remaining
0	19	39605
1	28	28707
2	33	22307
3	37	18758
4	40	15967
5	45	15100
6	48	13726
7	53	13215
8	57	12824
9	61	12186
10	65	11768
11	68	11407
12	95	14643
13	106	15120
14	111	14756
15	116	14464
16	123	14353
17	137	15099
18	140	14693
19	148	14705
20	153	14506
21	163	14720
22	172	14805
23	180	14850
24	189	14977
25	198	15067
26	207	15171
27	220	15540
28	232	15779
29	242	15937
30	253	16109
31	256	15796
32	266	15894
33	272	15756
34	287	16136
35	297	16231
36	306	16275
37	315	16315
38	325	16368
39	335	16415
40	346	16565
41	356	16642
42	367	16737
43	383	17043
44	389	16943
45	396	16835
46	418	17390
47	439	17867
48	451	17974
49	475	18551
50	493	18860
51	512	19196
52	525	19304
53	543	19577
54	566	20021
55	575	19967
56	584	19925
57	595	19931
58	600	19755
59	608	19687
60	616	19582
61	623	19493
62	638	19640
63	646	19567
64	656	19544
65	662	19398
66	666	19232
67	671	19064
68	802	22454
69	1026	28291
70	1035	28142
71	1043	27938
72	1051	27757
73	1058	27544
74	1064	27322
75	1070	27109
76	1076	26882
77	1082	26676
78	1087	26441
79	1092	26214
80	1097	26012
81	1103	25811
82	1107	25578
83	1113	25395
84	1116	25163
85	1122	24988
86	1131	24881
87	1137	24708
88	1141	24500
89	1147	24348
90	1150	24136
91	1155	23961
92	1158	23755
93	1164	23614
94	1170	23474
95	1173	23280
96	1176	23087
97	1184	22998
98	1189	22835
99	1194	22701
100	1198	22537
101	1202	22371
102	1205	22210
103	1209	22058
104	1214	21916
105	1218	21765
106	1222	21620
107	1226	21493
108	1230	21352
109	1235	21219
110	1238	21084
111	1242	20948
112	1249	20858
113	1256	20782
114	1261	20682
115	1264	20535
116	1269	20437
117	1275	20343
118	1280	20244
119	1286	20158
120	1289	20024
121	1293	19914
122	1298	19808
123	1303	19719
124	1308	19633
125	1312	19527
126	1317	19432
127	1322	19343
128	1328	19261
129	1333	19177
130	1337	19086
131	1342	19003
132	1346	18906
133	1350	18804
134	1353	18702
135	1358	18624
136	1362	18525
137	1367	18450
138	1369	18339
139	1374	18265
140	1378	18172
141	1382	18089
142	1386	18001
143	1391	17940
144	1393	17826
145	1397	17750
146	1403	17688
147	1410	17653
148	1418	17616
149	1445	17830
150	1469	17995
151	1479	17990
152	1482	17891
153	1489	17856
154	1498	17835
155	1502	17756
156	1506	17685
157	1509	17603
158	1514	17541
159	1518	17465
160	1523	17396
161	1526	17324
162	1530	17249
163	1538	17220
164	1544	17176
165	1551	17136
166	1564	17170
167	1576	17193
168	1586	17187
169	1593	17151
170	1627	17410
171	1636	17394
172	1647	17401
173	1657	17396
174	1668	17404
175	1676	17369
176	1689	17401
177	1694	17341
178	1704	17340
179	1712	17315
180	1725	17342
181	1732	17303
182	1740	17284
183	1746	17241
184	1755	17219
185	1761	17183
186	1769	17157
187	1774	17102
188	1782	17076
189	1791	17064
190	1800	17056
191	1810	17044
192	1819	17030
193	1827	17014
194	1846	17094
195	1855	17076
196	1860	17025
197	1867	16996
198	1871	16940
199	1875	16879
200	1880	16829
201	1886	16791
202	1894	16773
203	1900	16733
204	1909	16720
205	1920	16722
206	1927	16693
207	1935	16677
208	1942	16647
209	1949	16616
210	1955	16583
211	1962	16554
212	1970	16530
213	1978	16511
214	1985	16482
215	1993	16466
216	2005	16475
217	2012	16450
218	2021	16441
219	2032	16443
220	2038	16409
221	2059	16491
222	2071	16502
223	2075	16452
224	2081	16423
225	2088	16395
226	2099	16400
227	2107	16376
228	2111	16328
229	2132	16410
230	2136	16362
231	2143	16333
232	2154	16342
233	2162	16320
234	2170	16301
235	2175	16262
236	2182	16237
237	2189	16212
238	2196	16181
239	2203	16159
240	2207	16109
241	2215	16092
242	2222	16067
243	2228	16035
244	2236	16018
245	2245	16009
246	2269	16107
247	2274	16067
248	2281	16045
249	2285	16001
250	2290	15957
251	2295	15922
252	2302	15897
253	2308	15871
254	2314	15835
255	2318	15797
256	2322	15749
257	2327	15711
258	2330	15668
259	2335	15632
260	2341	15598
261	2348	15580
262	2354	15547
263	2359	15515
264	2363	15475
265	2370	15453
266	2373	15404
267	2376	15355
268	2379	15310
269	2384	15278
270	2387	15235
271	2390	15185
272	2393	15139
273	2397	15103
274	2402	15067
275	2407	15035
276	2411	14998
277	2415	14963
278	2423	14946
279	2428	14917
280	2433	14887
281	2439	14863
282	2442	14816
283	2448	14792
284	2453	14765
285	2457	14725
286	2464	14712
287	2470	14685
288	2473	14645
289	2480	14625
290	2483	14586
291	2487	14552
292	2493	14524
293	2498	14498
294	2501	14457
295	2505	14425
296	2512	14404
297	2517	14376
298	2523	14354
299	2526	14317
300	2531	14291
301	2536	14263
302	2543	14245
303	2548	14219
304	2554	14198
305	2559	14167
306	2562	14133
307	2566	14100
308	2569	14063
309	2575	14038
310	2581	14017
311	2585	13989
312	2589	13955
313	2594	13931
314	2600	13911
315	2606	13891
316	2614	13878
317	2618	13849
318	2621	13816
319	2629	13803
320	2633	13775
321	2637	13746
322	2641	13715
323	2647	13693
324	2651	13666
325	2657	13645
326	2661	13617
327	2671	13616
328	2676	13595
329	2683	13582
330	2694	13584
331	2700	13568
332	2707	13554
333	2714	13538
334	2717	13507
335	2724	13494
336	2727	13460
337	2732	13437
338	2742	13436
339	2750	13428
340	2755	13404
341	2767	13418
342	2775	13406
343	2783	13397
344	2790	13386
345	2798	13378
346	2805	13364
347	2809	13337
348	2812	13306
