,MCC,Accuracy,AUC,F1-Score,Kappa
XGBoost,0.8171,0.9503,0.9939,0.8311,0.8028
GBM,0.9279,0.9798,0.9996,0.9372,0.9253
Logistic Regression,0.2338,0.8401,0.7679,0.1905,0.151
LightGBM,0.8981,0.9718,0.9962,0.9106,0.894
SVM,0.546,0.8858,0.8802,0.5894,0.527
Random Forest,1.0,1.0000,1.0,1.0,1.0
CatBoost,0.679,0.9167,0.9665,0.69,0.6459
