iter	Passed	Remaining
0	9	19951
1	15	15406
2	23	15757
3	31	15526
4	36	14691
5	41	13655
6	45	13041
7	51	12823
8	55	12297
9	58	11669
10	66	11985
11	74	12272
12	77	11851
13	83	11879
14	89	11902
15	99	12306
16	107	12493
17	116	12788
18	123	12904
19	132	13156
20	140	13206
21	154	13899
22	164	14124
23	175	14468
24	188	14896
25	203	15457
26	217	15911
27	236	16680
28	250	17012
29	263	17328
30	268	17027
31	286	17629
32	292	17459
33	305	17672
34	318	17860
35	331	18058
36	340	18063
37	350	18103
38	365	18368
39	373	18313
40	377	18043
41	384	17915
42	388	17686
43	392	17440
44	394	17154
45	398	16928
46	403	16781
47	415	16894
48	423	16876
49	429	16758
50	441	16881
51	451	16922
52	462	16984
53	470	16966
54	483	17099
55	489	16986
56	492	16783
57	503	16865
58	507	16711
59	510	16512
60	513	16316
61	522	16316
62	531	16337
63	540	16350
64	549	16358
65	557	16345
66	566	16357
67	570	16218
68	574	16072
69	581	16024
70	587	15957
71	591	15835
72	610	16127
73	615	16025
74	619	15894
75	631	15974
76	645	16110
77	660	16276
78	676	16455
79	690	16564
80	694	16457
81	708	16578
82	730	16877
83	744	16987
84	762	17169
85	769	17123
86	777	17106
87	787	17111
88	795	17079
89	804	17078
90	812	17045
91	822	17051
92	832	17071
93	841	17068
94	855	17158
95	868	17228
96	882	17321
97	898	17442
98	906	17414
99	912	17337
100	923	17363
101	947	17627
102	956	17618
103	965	17594
104	981	17713
105	992	17740
106	1005	17783
107	1012	17738
108	1020	17705
109	1031	17730
110	1038	17679
111	1047	17658
112	1058	17676
113	1067	17661
114	1078	17686
115	1087	17656
116	1096	17645
117	1107	17658
118	1116	17642
119	1127	17664
120	1133	17603
121	1146	17641
122	1155	17635
123	1165	17636
124	1175	17632
125	1185	17634
126	1196	17643
127	1206	17641
128	1243	18030
129	1259	18111
130	1270	18124
131	1279	18106
132	1288	18088
133	1296	18054
134	1306	18049
135	1314	18016
136	1325	18024
137	1330	17958
138	1336	17892
139	1351	17950
140	1364	17996
141	1376	18009
142	1381	17936
143	1385	17856
144	1396	17866
145	1403	17816
146	1407	17746
147	1420	17769
148	1425	17713
149	1431	17658
150	1447	17719
151	1452	17661
152	1459	17620
153	1466	17578
154	1472	17526
155	1478	17473
156	1483	17414
157	1487	17344
158	1494	17298
159	1499	17243
160	1501	17155
161	1505	17080
162	1510	17018
163	1514	16956
164	1534	17068
165	1539	17010
166	1543	16938
167	1545	16856
168	1551	16804
169	1558	16780
170	1564	16731
171	1574	16735
172	1580	16693
173	1585	16635
174	1591	16593
175	1595	16538
176	1599	16474
177	1602	16401
178	1607	16348
179	1613	16309
180	1616	16246
181	1621	16197
182	1625	16141
183	1632	16108
184	1635	16049
185	1640	16001
186	1645	15954
187	1649	15896
188	1653	15844
189	1656	15780
190	1658	15710
191	1662	15659
192	1668	15619
193	1672	15572
194	1678	15534
195	1683	15494
196	1687	15441
197	1690	15381
198	1694	15335
199	1698	15284
200	1703	15242
201	1707	15196
202	1715	15187
203	1720	15145
204	1724	15099
205	1727	15046
206	1731	14996
207	1734	14941
208	1738	14898
209	1742	14852
210	1748	14825
211	1751	14773
212	1756	14738
213	1759	14684
214	1763	14639
215	1770	14622
216	1775	14590
217	1780	14553
218	1784	14511
219	1788	14468
220	1792	14430
221	1798	14404
222	1805	14389
223	1809	14350
224	1815	14319
225	1821	14299
226	1829	14287
227	1834	14259
228	1839	14229
229	1845	14200
230	1850	14170
231	1857	14154
232	1864	14141
233	1869	14106
234	1872	14062
235	1875	14020
236	1880	13992
237	1888	13983
238	1904	14034
239	1911	14019
240	1919	14008
241	1924	13983
242	1929	13949
243	1932	13904
244	1936	13869
245	1940	13832
246	1944	13803
247	1947	13758
248	1952	13728
249	1955	13689
250	1959	13651
251	1963	13619
252	1966	13578
253	1969	13539
254	1972	13496
255	1977	13473
256	1983	13452
257	1988	13423
258	1991	13387
259	1995	13352
260	1997	13309
261	2002	13280
262	2008	13263
263	2011	13226
264	2016	13202
265	2021	13176
266	2026	13152
267	2029	13117
268	2036	13102
269	2042	13084
270	2044	13047
271	2051	13030
272	2056	13012
273	2063	12996
274	2068	12972
275	2071	12938
276	2075	12912
277	2078	12875
278	2082	12844
279	2088	12828
280	2091	12794
281	2094	12760
282	2099	12736
283	2103	12709
284	2109	12694
285	2114	12674
286	2121	12660
287	2127	12645
288	2130	12613
289	2138	12609
290	2141	12578
291	2147	12559
292	2152	12543
293	2157	12518
294	2162	12500
295	2165	12465
296	2170	12444
297	2176	12429
298	2180	12407
299	2186	12388
300	2192	12372
301	2197	12354
302	2201	12330
303	2205	12302
304	2209	12279
305	2213	12255
306	2217	12226
307	2220	12197
308	2222	12164
309	2228	12150
310	2231	12121
311	2237	12102
312	2244	12097
313	2249	12077
314	2257	12074
315	2267	12081
316	2276	12086
317	2281	12069
318	2286	12048
319	2290	12025
320	2297	12017
321	2310	12038
322	2312	12007
323	2317	11986
324	2322	11967
325	2325	11940
326	2329	11918
327	2334	11901
328	2337	11872
329	2342	11854
330	2346	11832
