iter	CrossEntropy
0	0.6678841334
1	0.6457599977
2	0.6185555802
3	0.6003306469
4	0.5750003316
5	0.5536448553
6	0.5296158034
7	0.5127839894
8	0.4946048872
9	0.4782496659
10	0.4670564371
11	0.4495526495
12	0.4338719815
13	0.4214243337
14	0.4076864317
15	0.395632511
16	0.3860547406
17	0.3785300271
18	0.3678170711
19	0.358681885
20	0.3504495616
21	0.3429114253
22	0.3348508061
23	0.3280004596
24	0.3193170254
25	0.3142026832
26	0.3080130797
27	0.301368985
28	0.2951903232
29	0.2893132927
30	0.2850218649
31	0.2819141244
32	0.2763174117
33	0.272127519
34	0.2670796903
35	0.262967906
36	0.258193336
37	0.2548179147
38	0.2512375693
39	0.2472659317
40	0.2452584359
41	0.2419256695
42	0.2382144955
43	0.2350961944
44	0.2328877494
45	0.2304142501
46	0.2274156874
47	0.2255181797
48	0.2217677749
49	0.2192831028
50	0.2160544901
51	0.2134231918
52	0.2107709323
53	0.2089789325
54	0.2063761413
55	0.2054887144
56	0.2039813714
57	0.201752361
58	0.1988610401
59	0.1969700746
60	0.1951760412
61	0.1925105635
62	0.1913761619
63	0.1898766256
64	0.1887893857
65	0.1872360121
66	0.1850599562
67	0.1832694607
68	0.1818407093
69	0.1798524799
70	0.1777938155
71	0.176477421
72	0.1749039578
73	0.1739344703
74	0.1722545188
75	0.1710562837
76	0.1694111859
77	0.1682447047
78	0.1667372347
79	0.1665607285
80	0.1650061555
81	0.1635489194
82	0.1622068472
83	0.1610388341
84	0.1592930106
85	0.157448041
86	0.1559043087
87	0.1546837618
88	0.1530812634
89	0.1523146252
90	0.1517654714
91	0.1502953314
92	0.1488970951
93	0.1477037769
94	0.1467714373
95	0.1455004521
96	0.1439226004
97	0.1425058371
98	0.1415117808
99	0.1400307753
100	0.1388415357
101	0.1378280896
102	0.1367228247
103	0.1356218724
104	0.1348120726
105	0.1337956719
106	0.1327990258
107	0.1319993395
108	0.130834711
109	0.1298743697
110	0.1288159044
111	0.1282018008
112	0.1268697327
113	0.1261782068
114	0.1255062192
115	0.1246462074
116	0.1236717685
117	0.123178839
118	0.1224977898
119	0.1218288767
120	0.1211283027
121	0.1205158629
122	0.1192893837
123	0.1185952151
124	0.1175911048
125	0.1172214263
126	0.1163115816
127	0.1155589694
128	0.1148232502
129	0.1145781305
130	0.1134375583
131	0.11245822
132	0.1120564795
133	0.1112601472
134	0.1105926952
135	0.1099406065
136	0.1089083499
137	0.1084824237
138	0.1078370607
139	0.1076383656
140	0.1072271101
141	0.1061265771
142	0.1050903895
143	0.1039111923
144	0.1030817413
145	0.1026484229
146	0.1017653472
147	0.1013507132
148	0.1008352463
149	0.09967967418
150	0.09876971969
151	0.09762447557
152	0.09734232613
