iter	Passed	Remaining
0	4	8156
1	6	6662
2	9	6489
3	12	6460
4	18	7277
5	25	8518
6	32	9232
7	36	9108
8	42	9355
9	47	9501
10	52	9556
11	61	10120
12	66	10127
13	72	10346
14	80	10696
15	86	10775
16	97	11431
17	107	11804
18	115	12028
19	126	12559
20	136	12881
21	147	13235
22	158	13622
23	167	13758
24	173	13695
25	178	13558
26	182	13319
27	189	13319
28	196	13353
29	203	13343
30	209	13315
31	214	13218
32	218	13000
33	225	13012
34	232	13036
35	235	12871
36	241	12811
37	246	12719
38	254	12812
39	261	12808
40	264	12651
41	270	12615
42	273	12468
43	278	12385
44	284	12351
45	288	12250
46	292	12157
47	295	12032
48	301	12010
49	308	12018
50	312	11930
51	331	12411
52	343	12612
53	355	12809
54	364	12874
55	377	13092
56	384	13101
57	397	13299
58	404	13312
59	407	13190
60	411	13066
61	414	12945
62	417	12829
63	430	13030
64	441	13130
65	447	13125
66	454	13116
67	461	13110
68	472	13226
69	481	13263
70	489	13299
71	499	13377
72	510	13469
73	521	13563
74	529	13603
75	541	13698
76	553	13821
77	567	13990
78	571	13891
79	578	13892
80	603	14294
81	611	14310
82	617	14272
83	623	14224
84	629	14184
85	641	14283
86	650	14307
87	658	14316
88	670	14386
89	676	14347
90	680	14267
91	683	14170
92	688	14125
93	691	14030
94	696	13963
95	699	13880
96	704	13823
97	707	13732
98	714	13721
99	718	13648
100	723	13605
101	728	13553
102	732	13489
103	737	13449
104	743	13416
105	745	13328
106	750	13275
107	756	13261
108	761	13219
109	765	13158
110	769	13090
111	777	13111
112	786	13126
113	793	13127
114	797	13069
115	803	13049
116	808	13009
117	811	12942
118	817	12928
119	824	12910
120	828	12867
121	832	12820
122	837	12773
123	842	12751
124	847	12713
125	851	12659
126	858	12662
127	863	12624
128	868	12596
129	873	12560
130	879	12544
131	885	12535
132	893	12536
133	899	12525
134	902	12469
135	905	12412
136	912	12414
137	952	12850
138	959	12849
139	966	12838
140	972	12815
141	978	12809
142	984	12783
143	991	12776
144	996	12747
145	1000	12710
146	1005	12676
147	1009	12636
148	1014	12604
149	1021	12600
150	1029	12611
151	1033	12562
152	1037	12529
153	1041	12487
154	1045	12445
155	1048	12398
156	1054	12375
157	1058	12345
158	1061	12294
159	1066	12263
160	1069	12220
161	1072	12171
162	1086	12239
163	1094	12248
164	1098	12212
165	1102	12183
166	1108	12162
167	1111	12121
168	1117	12106
169	1120	12064
170	1125	12033
171	1128	11995
172	1133	11967
173	1138	11944
174	1143	11930
175	1149	11907
176	1152	11866
177	1157	11843
178	1161	11814
179	1168	11812
180	1170	11764
181	1175	11744
182	1178	11698
183	1186	11706
184	1191	11689
185	1194	11648
186	1199	11629
187	1202	11588
188	1208	11576
189	1212	11548
190	1215	11516
191	1224	11531
192	1227	11494
193	1233	11485
194	1238	11463
195	1242	11438
196	1249	11433
197	1253	11408
198	1258	11385
199	1261	11349
200	1266	11339
201	1272	11325
202	1276	11302
203	1281	11284
204	1284	11244
205	1287	11210
206	1291	11185
207	1294	11149
208	1299	11137
209	1303	11106
210	1309	11098
211	1313	11079
212	1317	11052
213	1320	11017
214	1322	10983
215	1327	10961
216	1330	10933
217	1334	10909
218	1342	10915
219	1347	10901
220	1350	10872
221	1355	10855
222	1359	10831
223	1366	10833
224	1373	10834
225	1377	10813
226	1379	10777
227	1382	10742
228	1384	10708
229	1389	10689
230	1391	10659
231	1396	10640
232	1399	10614
233	1404	10602
234	1412	10609
235	1415	10581
236	1422	10581
237	1427	10568
238	1430	10542
239	1436	10533
240	1440	10510
241	1444	10496
242	1448	10470
243	1454	10467
244	1460	10463
245	1464	10442
246	1472	10448
247	1477	10440
248	1481	10414
249	1486	10405
250	1491	10393
251	1499	10402
252	1502	10371
253	1514	10410
254	1523	10422
255	1531	10435
256	1536	10422
257	1543	10424
258	1552	10434
259	1558	10432
260	1561	10404
261	1586	10520
262	1593	10524
263	1601	10529
264	1608	10530
265	1618	10548
266	1623	10540
267	1633	10553
268	1637	10535
269	1649	10571
270	1661	10598
271	1667	10592
272	1673	10585
273	1682	10596
274	1692	10618
275	1700	10623
276	1705	10610
277	1710	10593
278	1713	10571
279	1717	10551
280	1723	10541
281	1726	10519
282	1730	10499
283	1736	10492
284	1741	10477
285	1746	10468
286	1752	10461
287	1760	10462
288	1766	10456
289	1768	10429
290	1770	10400
291	1773	10372
292	1775	10344
293	1781	10340
294	1787	10329
295	1794	10329
296	1797	10309
297	1802	10297
298	1805	10274
299	1811	10262
300	1817	10260
301	1820	10237
302	1825	10222
303	1829	10206
304	1836	10205
305	1841	10192
306	1846	10183
307	1853	10180
308	1858	10172
309	1862	10151
310	1867	10141
311	1875	10144
312	1879	10128
313	1885	10122
314	1891	10116
315	1897	10112
316	1903	10103
317	1907	10089
318	1911	10070
319	1915	10057
320	1919	10040
321	1924	10029
322	1931	10029
323	1935	10012
324	1941	10004
325	1944	9986
326	1951	9983
327	1957	9978
328	1961	9960
329	1965	9944
330	1970	9937
331	1974	9919
332	1977	9898
333	1980	9880
334	1988	9882
335	1992	9869
336	1999	9867
337	2002	9845
338	2006	9832
339	2012	9827
340	2016	9809
341	2019	9791
342	2025	9783
343	2031	9780
344	2037	9772
345	2044	9771
346	2050	9769
347	2055	9759
348	2063	9763
349	2069	9757
350	2075	9750
351	2078	9731
352	2084	9726
353	2087	9705
354	2092	9696
355	2100	9699
