iter	CrossEntropy
0	0.6588195584
1	0.6320646913
2	0.6078256724
3	0.5820217733
4	0.5618892842
5	0.5445562279
6	0.5249148683
7	0.504874754
8	0.4898286615
9	0.4763603548
10	0.462790344
11	0.450473053
12	0.4368414463
13	0.4255341067
14	0.4143026562
15	0.4049352623
16	0.3954342743
17	0.3883915363
18	0.3799593378
19	0.3709388592
20	0.3622854817
21	0.3563908553
22	0.3497531788
23	0.3426692315
24	0.3352891567
25	0.3284551531
26	0.3220696857
27	0.314684589
28	0.3068522676
29	0.2996070064
30	0.2931811316
31	0.2895610984
32	0.2833374317
33	0.2798141844
34	0.2749037212
35	0.2702462143
36	0.2660137288
37	0.2623265092
38	0.2572825007
39	0.2540675653
40	0.2508612925
41	0.2491541127
42	0.2462976836
43	0.2440464176
44	0.2405989773
45	0.2371643082
46	0.2343090869
47	0.2315604789
48	0.2277391358
49	0.2256836765
50	0.2230566494
51	0.2191739644
52	0.2158147992
53	0.2132676825
54	0.2106182476
55	0.2094367196
56	0.2072333954
57	0.2043883779
58	0.2020419352
59	0.2002443569
60	0.1982658567
61	0.1969805418
62	0.1950604655
63	0.1932510626
64	0.1916202889
65	0.1907945616
66	0.1883582854
67	0.1867283815
68	0.1849590006
69	0.183437035
70	0.1820022013
71	0.1801809687
72	0.1785480163
73	0.1773392176
74	0.1760188182
75	0.1741759514
76	0.1727450636
77	0.1714226406
78	0.1691031231
79	0.1682550669
80	0.1667144211
81	0.1651860916
82	0.1640723774
83	0.162469355
84	0.1607339572
85	0.1596040899
86	0.1587358018
87	0.1581316763
88	0.1568932711
89	0.1560069224
90	0.1548682646
91	0.1538396735
92	0.1528409468
93	0.1521183553
94	0.1514071465
95	0.1502195139
96	0.14931776
97	0.147889348
98	0.14669107
99	0.1447616895
100	0.1432610113
101	0.1416995803
102	0.1413065344
103	0.1399924366
104	0.1387113196
105	0.1374678662
106	0.1362244814
107	0.1352726784
108	0.1342066256
109	0.1331841005
110	0.1319287158
111	0.1306157188
112	0.1299760291
113	0.1288097144
114	0.1275846517
115	0.1260992475
116	0.1259262865
117	0.125275682
118	0.124735459
119	0.1236606704
120	0.1227914286
121	0.1222098239
122	0.1215180003
123	0.1210808305
124	0.1204907102
125	0.1196985764
126	0.1189251487
127	0.1184851074
128	0.1179917526
129	0.1174059883
130	0.1169984784
131	0.1161714378
132	0.1152284609
133	0.1138415786
134	0.1125126025
135	0.1117698224
136	0.110844292
137	0.1101550165
138	0.1092054168
139	0.1082122081
140	0.1076901559
141	0.106478229
142	0.1058437413
143	0.1055656494
144	0.1047311492
145	0.1042784035
146	0.1035513849
147	0.1030201553
148	0.1026324425
149	0.1016831648
150	0.1007966571
151	0.09997619859
152	0.09883527756
153	0.09831815318
154	0.09759894051
155	0.09695553844
156	0.09615267607
157	0.09559685443
158	0.09529648818
159	0.09424137108
160	0.09371290089
161	0.09349033602
162	0.09335442364
163	0.09298022087
164	0.09257114218
165	0.09208476372
166	0.09156535479
167	0.09093436323
168	0.09019605479
169	0.08971265919
170	0.08946766231
171	0.08896913671
172	0.08821639225
173	0.08713106747
174	0.08658788119
175	0.08584260145
176	0.0850735363
177	0.0845314003
178	0.08419050801
179	0.08402334264
180	0.08383805852
181	0.0833006116
182	0.08283110496
183	0.08254420337
184	0.08194448546
185	0.08157181895
186	0.08099572466
187	0.08047671921
188	0.08044170421
189	0.07991600296
190	0.07921322101
191	0.07854433707
192	0.07789820994
193	0.07756809239
194	0.07709393699
195	0.07659430567
196	0.07573990166
197	0.07523892179
198	0.07480663213
199	0.07438352239
200	0.07376798222
201	0.07333184441
202	0.07322706859
203	0.07296771181
204	0.07279634187
205	0.07228337824
206	0.07173213112
207	0.07154923785
208	0.07116621845
209	0.07072485251
210	0.07055368389
211	0.07000274349
212	0.06971856175
213	0.06914364415
214	0.06853124673
215	0.06811060795
216	0.067774079
217	0.06730739472
218	0.06690271331
219	0.06647561927
220	0.06587712325
221	0.06564170156
222	0.06534728693
223	0.06486880445
224	0.06439812176
225	0.06369493252
226	0.06343643398
227	0.06308990742
228	0.0626415602
229	0.06241362744
230	0.06214708575
231	0.06177247263
232	0.06136214592
233	0.06096246722
234	0.06048606194
235	0.06036860959
236	0.06022562145
237	0.05992585881
238	0.05975888742
239	0.05943931405
240	0.05898576364
241	0.0587294503
242	0.05837431872
243	0.05812492581
244	0.05777337444
245	0.05760552762
246	0.05717541058
247	0.05683146003
248	0.05653571575
249	0.05585065779
250	0.05550530562
251	0.05494624002
252	0.05452426205
253	0.05406579316
254	0.05376876175
255	0.05371741389
256	0.053686769
257	0.05318002338
258	0.05272574855
259	0.05231261221
260	0.05225212445
261	0.05166430193
262	0.05134500854
263	0.05093149412
264	0.05067946204
265	0.05064285083
266	0.05031241303
267	0.04974706097
268	0.04943793092
269	0.04913394372
270	0.04894109724
271	0.04854908458
272	0.04829393165
273	0.04796880308
274	0.04760011968
275	0.04742173836
276	0.04704308693
277	0.04670063957
278	0.04636780865
279	0.04604208926
280	0.04600073447
281	0.04568689728
282	0.04546153707
283	0.04509741912
284	0.0447127465
285	0.04451402751
286	0.04418565622
287	0.04384188507
288	0.04382113697
289	0.04344872581
290	0.04324345983
291	0.04302340667
292	0.04264515591
293	0.04260867022
294	0.04245622966
295	0.04242110744
296	0.04214540559
297	0.04189860857
298	0.04173414205
299	0.04139547969
300	0.04122292217
301	0.04092414269
302	0.04084481269
303	0.04063046086
304	0.04061318794
305	0.04034422078
306	0.04000003702
307	0.03983033092
308	0.03949633381
309	0.03928566619
310	0.03894324244
311	0.03879937181
312	0.03839778481
313	0.03837754583
314	0.0381337052
315	0.03796328984
316	0.03756567172
317	0.03753930091
318	0.03726883721
319	0.03699074651
320	0.0366270137
321	0.03642766753
322	0.03624002915
323	0.03602716056
324	0.03597791598
325	0.03574044566
326	0.03543458617
327	0.03527777523
328	0.03497474468
329	0.03469794714
330	0.03468158661
331	0.03449547132
332	0.03424744575
333	0.03407835234
334	0.03399888985
335	0.03386728858
336	0.03366792884
337	0.03348795409
338	0.03328321623
339	0.03303118162
340	0.03270962226
341	0.03250695825
342	0.03231103623
343	0.03227930983
344	0.03198979082
345	0.03196966891
346	0.03183440907
347	0.0316105191
348	0.03139310299
349	0.03120039406
350	0.03118798274
351	0.0308935131
352	0.03087750926
353	0.03073744196
354	0.03052635467
355	0.03035820127
356	0.0302180024
357	0.03007472871
358	0.02990866092
359	0.02973262196
360	0.02958875768
361	0.02957570121
362	0.02945885756
363	0.02927897174
364	0.0290649657
365	0.02882986942
366	0.02860074827
367	0.02846590334
368	0.02831267251
