iter	Passed	Remaining
0	5	10402
1	8	8002
2	11	7693
3	14	7474
4	20	8226
5	26	8745
6	31	9030
7	36	9147
8	39	8834
9	46	9221
10	50	9151
11	53	8863
12	57	8714
13	60	8650
14	65	8712
15	69	8619
16	72	8487
17	77	8497
18	81	8535
19	86	8566
20	91	8592
21	96	8668
22	113	9789
23	127	10503
24	136	10751
25	143	10900
26	151	11037
27	157	11058
28	161	10974
29	166	10911
30	169	10766
31	172	10601
32	177	10558
33	180	10449
34	185	10416
35	188	10273
36	193	10281
37	199	10282
38	201	10152
39	204	10012
40	207	9920
41	210	9808
42	214	9747
43	217	9660
44	221	9618
45	226	9607
46	229	9550
47	235	9576
48	238	9481
49	242	9472
50	246	9424
51	250	9391
52	253	9322
53	259	9334
54	265	9382
55	271	9416
56	276	9441
57	281	9437
58	285	9386
59	291	9419
60	297	9466
61	300	9400
62	307	9448
63	312	9447
64	315	9384
65	319	9349
66	326	9413
67	331	9428
68	337	9436
69	341	9411
70	348	9459
71	353	9459
72	357	9435
73	362	9427
74	365	9380
75	368	9328
76	372	9295
77	376	9281
78	380	9255
79	384	9221
80	388	9206
81	392	9174
82	396	9152
83	400	9126
84	405	9129
85	408	9097
86	413	9086
87	417	9081
88	422	9068
89	424	9016
90	430	9031
91	433	8994
92	438	8994
93	441	8945
94	446	8958
95	450	8926
96	455	8932
97	459	8910
98	462	8878
99	466	8859
100	471	8859
101	477	8878
102	483	8908
103	488	8899
104	494	8926
105	501	8958
106	505	8934
107	510	8946
108	516	8958
109	521	8965
110	525	8935
111	529	8918
112	534	8931
113	539	8925
114	542	8894
115	546	8881
116	549	8843
117	552	8809
118	555	8776
119	561	8789
120	565	8783
121	571	8794
122	576	8794
123	578	8756
124	581	8727
125	587	8742
126	593	8752
127	600	8780
128	604	8766
129	609	8765
130	612	8732
131	614	8694
132	618	8687
133	624	8700
134	628	8677
135	634	8693
136	638	8683
137	643	8688
138	648	8685
139	653	8685
140	658	8684
141	663	8683
142	669	8693
143	674	8691
144	677	8671
145	682	8666
146	685	8643
147	691	8657
148	698	8672
149	701	8657
150	706	8655
151	710	8640
152	731	8835
153	739	8858
154	745	8878
155	753	8910
156	759	8919
157	764	8912
158	768	8902
159	773	8889
160	775	8862
161	777	8825
162	783	8830
163	787	8812
164	789	8781
165	792	8756
166	796	8746
167	800	8727
168	802	8697
169	807	8690
170	810	8663
171	814	8656
172	817	8636
173	822	8627
174	825	8610
175	828	8591
176	833	8582
177	839	8588
178	844	8591
179	848	8584
180	856	8604
181	860	8594
182	866	8601
183	871	8602
184	879	8624
185	883	8619
186	887	8603
187	892	8599
188	897	8598
189	900	8575
190	905	8580
191	910	8574
192	915	8569
193	920	8571
194	924	8560
195	930	8565
196	938	8585
197	945	8604
198	950	8603
199	954	8588
200	959	8584
201	965	8594
202	970	8588
203	978	8612
204	982	8601
205	988	8609
206	992	8595
207	996	8588
208	999	8567
209	1004	8565
210	1011	8574
211	1015	8562
212	1019	8552
213	1022	8536
214	1027	8530
215	1030	8509
216	1032	8484
217	1037	8480
218	1041	8472
219	1045	8461
220	1048	8437
221	1053	8438
222	1059	8441
223	1062	8423
224	1065	8404
225	1068	8390
226	1073	8383
227	1078	8380
228	1082	8373
229	1088	8378
230	1092	8364
231	1098	8367
232	1104	8373
233	1107	8359
234	1112	8356
235	1117	8356
236	1121	8345
237	1127	8345
238	1130	8329
239	1135	8329
240	1142	8339
241	1148	8342
242	1152	8335
243	1157	8331
244	1161	8317
245	1165	8310
246	1171	8314
247	1177	8316
248	1182	8313
249	1190	8330
250	1192	8312
251	1196	8297
252	1202	8300
253	1207	8298
254	1211	8291
255	1218	8302
256	1222	8294
257	1226	8279
258	1228	8257
259	1233	8256
260	1239	8256
261	1242	8241
262	1250	8259
263	1255	8252
264	1257	8234
265	1261	8220
266	1265	8210
267	1269	8205
268	1275	8206
269	1277	8188
270	1283	8190
271	1289	8191
272	1292	8177
273	1299	8183
274	1301	8165
275	1306	8163
276	1311	8157
277	1315	8149
278	1319	8137
279	1323	8127
280	1329	8133
281	1333	8126
282	1339	8124
283	1342	8113
284	1349	8123
285	1355	8124
286	1361	8125
287	1365	8119
288	1372	8125
289	1378	8127
290	1382	8116
291	1385	8105
292	1389	8096
293	1393	8083
294	1415	8179
295	1426	8210
296	1433	8219
297	1439	8219
298	1447	8232
299	1450	8217
300	1455	8213
301	1458	8201
302	1464	8200
303	1470	8206
304	1474	8193
305	1478	8184
306	1482	8176
307	1487	8170
308	1489	8153
309	1492	8137
310	1497	8132
311	1501	8126
312	1506	8117
313	1513	8126
314	1518	8120
315	1523	8119
316	1527	8109
317	1530	8092
318	1535	8092
319	1539	8083
320	1547	8091
321	1552	8090
322	1559	8096
323	1566	8104
324	1570	8092
325	1573	8079
326	1577	8072
327	1584	8077
328	1589	8074
329	1595	8076
330	1601	8074
331	1607	8077
332	1612	8071
333	1615	8056
334	1620	8055
335	1626	8052
336	1630	8044
337	1634	8034
338	1636	8018
339	1638	8001
340	1643	7994
341	1647	7988
342	1651	7977
343	1654	7963
344	1659	7961
345	1662	7948
346	1667	7942
347	1671	7932
348	1673	7918
349	1678	7913
350	1683	7908
351	1690	7912
352	1694	7905
353	1704	7923
354	1725	7996
355	1731	7996
356	1737	7995
357	1740	7983
358	1745	7978
359	1748	7967
360	1753	7959
361	1756	7946
362	1760	7939
363	1763	7927
364	1771	7936
365	1775	7926
366	1778	7913
367	1784	7912
368	1787	7898
369	1790	7885
370	1793	7875
371	1796	7862
372	1799	7851
373	1806	7854
374	1810	7846
375	1813	7832
376	1817	7823
377	1821	7815
378	1826	7812
379	1829	7797
380	1832	7785
381	1835	7772
382	1839	7765
383	1842	7755
384	1848	7752
385	1851	7742
386	1856	7738
387	1861	7731
388	1866	7729
389	1870	7722
390	1876	7723
391	1881	7718
392	1885	7708
393	1889	7700
394	1892	7691
395	1896	7680
396	1900	7675
397	1904	7665
398	1907	7655
399	1911	7645
400	1914	7636
401	1920	7634
402	1924	7626
403	1927	7616
404	1933	7613
405	1937	7604
406	1940	7595
407	1944	7588
408	1948	7579
409	1953	7574
410	1959	7575
411	1965	7574
412	1969	7569
413	1974	7565
414	1977	7553
415	1984	7556
416	1990	7555
417	1993	7545
418	1999	7545
419	2005	7542
420	2012	7546
421	2017	7543
422	2020	7533
423	2025	7530
424	2030	7526
425	2035	7520
426	2038	7508
427	2042	7502
428	2046	7493
429	2048	7480
430	2051	7467
431	2054	7456
432	2056	7443
433	2059	7432
434	2063	7422
435	2067	7416
436	2072	7414
437	2079	7416
438	2084	7411
439	2089	7407
440	2092	7396
441	2096	7391
442	2101	7385
443	2103	7371
444	2106	7361
